TimeID,FullDate,Day,Month,Quarter,Year,WeekOfYear
20250711,2025-07-11,11,7,3,2025,28
20250712,2025-07-12,12,7,3,2025,28
20250713,2025-07-13,13,7,3,2025,28
20250714,2025-07-14,14,7,3,2025,29
20250715,2025-07-15,15,7,3,2025,29
20250717,2025-07-17,17,7,3,2025,29
20250718,2025-07-18,18,7,3,2025,29
20250719,2025-07-19,19,7,3,2025,29
20250720,2025-07-20,20,7,3,2025,29
20250721,2025-07-21,21,7,3,2025,30
20250722,2025-07-22,22,7,3,2025,30
20250724,2025-07-24,24,7,3,2025,30
20250725,2025-07-25,25,7,3,2025,30
20250726,2025-07-26,26,7,3,2025,30
20250727,2025-07-27,27,7,3,2025,30
20250728,2025-07-28,28,7,3,2025,31
20250729,2025-07-29,29,7,3,2025,31
20250731,2025-07-31,31,7,3,2025,31
20250801,2025-08-01,1,8,3,2025,31
20250802,2025-08-02,2,8,3,2025,31
20250803,2025-08-03,3,8,3,2025,31
20250804,2025-08-04,4,8,3,2025,32
20250805,2025-08-05,5,8,3,2025,32
20250807,2025-08-07,7,8,3,2025,32
20250808,2025-08-08,8,8,3,2025,32
20250809,2025-08-09,9,8,3,2025,32
20250810,2025-08-10,10,8,3,2025,32
20250811,2025-08-11,11,8,3,2025,33
20250812,2025-08-12,12,8,3,2025,33
20250814,2025-08-14,14,8,3,2025,33
20250815,2025-08-15,15,8,3,2025,33
20250816,2025-08-16,16,8,3,2025,33
20250817,2025-08-17,17,8,3,2025,33
20250818,2025-08-18,18,8,3,2025,34
20250819,2025-08-19,19,8,3,2025,34
20250821,2025-08-21,21,8,3,2025,34
20250822,2025-08-22,22,8,3,2025,34
20250823,2025-08-23,23,8,3,2025,34
20250824,2025-08-24,24,8,3,2025,34
20250825,2025-08-25,25,8,3,2025,35
20250826,2025-08-26,26,8,3,2025,35
20250828,2025-08-28,28,8,3,2025,35
20250830,2025-08-30,30,8,3,2025,35
20250831,2025-08-31,31,8,3,2025,35
20250901,2025-09-01,1,9,3,2025,36
20250902,2025-09-02,2,9,3,2025,36
20250904,2025-09-04,4,9,3,2025,36
20250905,2025-09-05,5,9,3,2025,36
20250906,2025-09-06,6,9,3,2025,36
20250907,2025-09-07,7,9,3,2025,36
20250908,2025-09-08,8,9,3,2025,37
20250909,2025-09-09,9,9,3,2025,37
20250911,2025-09-11,11,9,3,2025,37
20250912,2025-09-12,12,9,3,2025,37
20250913,2025-09-13,13,9,3,2025,37
20250914,2025-09-14,14,9,3,2025,37
20250915,2025-09-15,15,9,3,2025,38
20250916,2025-09-16,16,9,3,2025,38
20250918,2025-09-18,18,9,3,2025,38
20250919,2025-09-19,19,9,3,2025,38
20250920,2025-09-20,20,9,3,2025,38
20250921,2025-09-21,21,9,3,2025,38
20250922,2025-09-22,22,9,3,2025,39
20250923,2025-09-23,23,9,3,2025,39
20250925,2025-09-25,25,9,3,2025,39
20250926,2025-09-26,26,9,3,2025,39
20250927,2025-09-27,27,9,3,2025,39
20250928,2025-09-28,28,9,3,2025,39
20250929,2025-09-29,29,9,3,2025,40
20250930,2025-09-30,30,9,3,2025,40
20251002,2025-10-02,2,10,4,2025,40
20251003,2025-10-03,3,10,4,2025,40
20251004,2025-10-04,4,10,4,2025,40
20251005,2025-10-05,5,10,4,2025,40
20251006,2025-10-06,6,10,4,2025,41
20251007,2025-10-07,7,10,4,2025,41
20251009,2025-10-09,9,10,4,2025,41
20251010,2025-10-10,10,10,4,2025,41
20251011,2025-10-11,11,10,4,2025,41
20251012,2025-10-12,12,10,4,2025,41
20251013,2025-10-13,13,10,4,2025,42
20251014,2025-10-14,14,10,4,2025,42
20251016,2025-10-16,16,10,4,2025,42
20251017,2025-10-17,17,10,4,2025,42
20251018,2025-10-18,18,10,4,2025,42
20251019,2025-10-19,19,10,4,2025,42
20251020,2025-10-20,20,10,4,2025,43
20251021,2025-10-21,21,10,4,2025,43
20251023,2025-10-23,23,10,4,2025,43
20251024,2025-10-24,24,10,4,2025,43
20251025,2025-10-25,25,10,4,2025,43
20251026,2025-10-26,26,10,4,2025,43
20251027,2025-10-27,27,10,4,2025,44
20251028,2025-10-28,28,10,4,2025,44
20251030,2025-10-30,30,10,4,2025,44
20251031,2025-10-31,31,10,4,2025,44
20251101,2025-11-01,1,11,4,2025,44
20251102,2025-11-02,2,11,4,2025,44
20251103,2025-11-03,3,11,4,2025,45
20251104,2025-11-04,4,11,4,2025,45
20251106,2025-11-06,6,11,4,2025,45
20251107,2025-11-07,7,11,4,2025,45
20251108,2025-11-08,8,11,4,2025,45
20251109,2025-11-09,9,11,4,2025,45
20251110,2025-11-10,10,11,4,2025,46
20251111,2025-11-11,11,11,4,2025,46
20251113,2025-11-13,13,11,4,2025,46
20251114,2025-11-14,14,11,4,2025,46
20251115,2025-11-15,15,11,4,2025,46
20251116,2025-11-16,16,11,4,2025,46
20251117,2025-11-17,17,11,4,2025,47
20251118,2025-11-18,18,11,4,2025,47
20251120,2025-11-20,20,11,4,2025,47
20251121,2025-11-21,21,11,4,2025,47
20251122,2025-11-22,22,11,4,2025,47
20251123,2025-11-23,23,11,4,2025,47
20251124,2025-11-24,24,11,4,2025,48
20251125,2025-11-25,25,11,4,2025,48
20251127,2025-11-27,27,11,4,2025,48
20251128,2025-11-28,28,11,4,2025,48
20251129,2025-11-29,29,11,4,2025,48
20251130,2025-11-30,30,11,4,2025,48
20251201,2025-12-01,1,12,4,2025,49
20251202,2025-12-02,2,12,4,2025,49
20251204,2025-12-04,4,12,4,2025,49
20251205,2025-12-05,5,12,4,2025,49
20251206,2025-12-06,6,12,4,2025,49
20251207,2025-12-07,7,12,4,2025,49
20251208,2025-12-08,8,12,4,2025,50
20251209,2025-12-09,9,12,4,2025,50
